EOM,GBP,AED,ALL,DZD,AOA,XCD,ARS,AMD,AWG,AUD,AZN,BSD,BHD,BDT,BBD,BYN,BZD,XOF,BMD,BTN,BOB,BAM,BWP,BRL,BND,BGN,XOF,BIF,KHR,XAF,CAD,CVE,KYD,XAF,XAF,CLP,CNY,COP,KMF,XAF,CDF,CRC,XOF,HRK,CUP,CZK,DKK,DJF,XCD,DOP,AED,ECS,EGP,SVC,XAF,ERN,ETB,EUR,FJD,XPF,XAF,GMD,GEL,GHS,XCD,GTQ,XOF,GNF,GYD,HTG,HNL,HKD,HUF,ISK,INR,IDR,IQD,ILS,JMD,JPY,JOD,KZT,KES,KWD,KGS,LAK,LBP,LSL,LRD,LYD,MOP,MKD,MGA,MWK,MYR,MVR,XOF,MRU,MUR,MXN,MDL,MNT,XCD,MAD,MZN,MMK,NPR,XPF,NZD,NIO,XOF,NGN,NOK,OMR,PKR,PAB,PGK,PYG,PEN,PHP,PLN,QAR,RON,RUB,RWF,STD,SAR,XOF,RSD,SCR,SLL,SGD,SBD,SOS,ZAR,KRW,LKR,XCD,XCD,XCD,SDG,SRD,SZL,SEK,CHF,TWD,TZS,THB,XOF,TOP,TTD,TND,TRY,TMT,AED,UGX,UAH,UYU,USD,UZS,VUV,VEF,VND,XPF,WST,YER,ZMW,ZWL
31/01/2020,1,4.8012,143.53,156.25,598.72,3.5292,78.18,624.19,2.3397,1.905,2.2175,1.3071,0.4928,111.1,2.6142,2.754,2.6142,770.63,1.3071,92.77,9.0321,2.2977,13.99,5.2977,1.7713,2.2978,770.63,2455.03,5315.99,770.63,1.7143,130.12,1.0718,770.63,770.63,982.17,9.1492,4341.16,577.97,770.63,2200.7,739.61,770.63,8.7526,1.3071,29.93,8.7784,232.29,3.5292,69.38,4.8012,1.3071,20.98,11.43,770.63,19.6,41.43,1.1748,2.8388,140.19,770.63,67.11,3.7906,7.4832,3.5292,10.04,770.63,12463.24,272.74,119.87,32.22,10.1778,388.77,161.2,92.77,18266.8,1556.1,4.5713,174.76,143.24,0.9267,502.17,131.95,0.3968,91.28,11594.01,1976.34,18.65,1.3071,1.8365,10.48,72.34,4793.8,962.55,5.4095,20.19,770.63,49.25,47.77,24.76,22.54,3579.5,3.5292,12.56,82.47,1967.27,148.43,140.19,1.9838,44.18,770.63,475.45,11.79,0.5032,202.47,1.3071,4.4564,8436.83,4.3573,66.21,5.0201,4.7582,5.6107,81.81,1220.21,29017.7,4.9029,770.63,138.04,18.16,12744.27,1.7713,10.75,758.12,18.65,1527.67,236.81,3.5292,3.5292,3.5292,58.97,9.7484,18.65,12.29,1.2826,39.43,3003.72,39.49,770.63,1.905,8.8225,3.7245,7.741,4.5879,4.8012,4787.92,30.56,49.29,1.3071,12459.84,152.24,325514.45,30290.91,140.19,3.4754,326.64,18.96,473.04
29/02/2020,1,4.82,144.8,157.24,648.1,3.5479,78.99,628.34,2.3521,1.9213,2.2293,1.314,0.4955,111.75,2.6281,2.782,2.6281,778.25,1.314,93.55,9.08,2.2305,14.09,5.4965,1.7731,2.3206,778.25,2472.74,5321.87,778.25,1.7239,130.94,1.0775,778.25,778.25,1014.63,9.0685,4381.54,583.69,778.25,2221.39,744.91,778.25,8.8256,1.314,29.82,8.8662,233.53,3.5479,70.24,4.82,1.314,20.76,11.49,778.25,19.71,42.08,1.1864,2.8538,141.58,778.25,67.34,3.7871,7.4112,3.5479,10.1,778.25,12531.37,274.55,121.07,32.39,10.21,398.7,163.49,93.55,17929.46,1564.36,4.5495,180.12,144.42,0.9317,495.25,132.52,0.3991,91.58,11688.41,1986.83,18.84,1.314,1.8397,10.51,73.06,4861.96,967.81,5.3436,20.36,778.25,NaN,48.32,24.55,23.25,3609.67,3.5479,12.63,83.4,1930.07,149.68,141.58,1.9929,44.54,778.25,475.35,11.81,0.5059,203.07,1.314,4.481,8577.12,4.3543,66.9,5.0315,4.7844,5.6692,81.54,1228.68,29237.5,4.9294,778.25,139.46,18.34,12976.17,1.7731,10.9,762.14,18.84,1530.26,238.49,3.5479,3.5479,3.5479,59.55,9.8001,18.84,12.51,1.2748,39.39,3027.55,39.9,778.25,1.9213,8.9019,3.7086,7.7782,4.6123,4.82,4829.1,32.12,49.07,1.314,12545.24,153.17,326591,30447.05,141.58,3.4662,328.37,19.15,475.55
31/03/2020,1,4.7573,146.7,156.62,639.75,3.4969,79.94,619.89,2.3183,1.9407,2.1972,1.2952,0.4883,110.15,2.5903,2.8555,2.5903,787.18,1.2952,92.67,8.9495,2.3471,14.26,5.6644,1.8063,2.3472,787.18,2442.17,5284.22,787.18,1.7143,132.77,1.062,787.18,787.18,1034.95,9.0578,4414.42,590.38,787.18,2194.63,737.62,787.18,8.9387,1.2952,29.95,8.9625,230.17,3.4969,69.35,4.7573,1.2952,20.2,11.33,787.18,19.42,41.48,1.2,2.8401,143.2,787.18,66.37,3.672,6.908,3.4969,9.8934,787.18,12340.22,270.07,121.68,31.95,10.06,404.3,165.49,92.67,17730.65,1541.23,4.438,182.36,143.69,0.9183,487.29,131.19,0.3962,90.45,11534.62,1958.27,19.41,1.2952,1.8262,10.36,73.89,4832.86,953.97,5.3891,19.91,787.18,48.35,48.5,24.09,22.96,3572.67,3.4969,12.61,83.92,1878.99,148.27,143.2,2.0305,44,787.18,473.37,12.01,0.4987,199.73,1.2952,4.4157,8461.81,4.3834,65.46,5.1298,4.7156,5.7358,82.41,1221.97,29594.2,4.8576,787.18,141.06,18.06,12692.49,1.8063,10.66,758.31,19.41,1540.38,235.71,3.4969,3.4969,3.4969,68.31,9.6592,19.41,12.68,1.2737,39.02,2991.8,40.38,787.18,1.9407,8.7331,3.7223,7.8804,4.533,4.7573,4751.91,31.71,49.28,1.2952,12340.84,153.37,323207,30090.3,143.2,3.4579,323.82,19,468.71
30/04/2020,1,4.3209,133.22,143.26,595.59,3.1761,74.47,577.03,2.1057,2.0209,1.9957,1.1763,0.44,99.98,2.3527,2.942,2.3527,712.26,1.1763,87.35,8.1286,2.1237,13.79,6.0201,1.6999,2.1236,712.26,2230.35,4764.2,712.26,1.7094,302.96,0.9646,712.26,712.26,1018.62,8.265,4874.18,534.19,712.26,2009.19,665.76,712.26,8.2509,1.1763,30.05,8.1156,209.06,3.1761,63.48,4.3209,1.1763,18.52,10.29,712.26,17.64,37.67,1.0858,2.7121,129.57,712.26,60.28,3.582,6.6581,3.1761,8.9882,712.26,11224.7,245.27,113.84,29.06,9.1386,384.17,165.02,87.35,17901.06,1400.44,4.4269,159.88,127.61,0.834,521.81,122.57,0.3651,85.75,10493,1778.87,20.11,1.1763,1.6586,9.4128,66.88,4405.41,866.47,5.1418,18.11,712.26,43.76,45.99,27.91,20.99,3253.77,3.1761,11.45,77.93,1680.84,139.76,129.57,2.0364,40.05,712.26,432.97,13.03,0.4531,186.45,1.1763,4.0286,7763.8,4.1982,60.05,4.9168,4.2831,5.2723,94.36,1112.23,28409,4.4154,712.26,127.62,16.36,11528.2,1.6999,9.746,690.51,20.119,1465.25,218.44,3.1761,3.1761,3.1761,65.05,8.7732,20.11,12.05,1.1447,35.57,2711.47,38.2,712.26,2.0209,7.9465,3.417,7.6224,4.1172,4.3209,4452.47,32.3,53.93,1.1763,11199.22,146.84,289115,27388.93,129.57,3.2831,294.49,19.79,425.71
31/05/2020,1,4.5278,141.94,158.33,692.71,3.3283,81.64,591.45,2.2065,1.9526,2.0913,1.2327,0.46,104.71,2.4654,3.0555,2.4654,746.79,1.2327,94.52,8.5179,2.2267,15.14,6.6448,1.76,2.2267,746.79,2352.6,5029.39,746.79,1.7446,126.1,1.0108,746.79,746.79,1056.29,8.7325,4996.79,560.09,746.79,2115.3,700.28,746.79,8.6189,1.2327,31.35,8.4906,219.07,3.3283,67.12,4.5278,1.2327,19.41,10.78,746.79,18.49,41.12,1.1385,2.8027,135.85,746.79,63.66,3.9243,7.1127,3.3283,9.5053,746.79,11777.18,257.77,123.22,30.59,9.5535,406.18,180.57,94.52,19075.99,1466.9,4.3637,172.16,132.88,0.874,539.45,132.2,0.3846,98.27,11063.44,1863.83,23.34,1.2327,1.7443,9.8401,70.13,4675.61,907.8,5.3869,19.01,746.79,46.35,49.7,30.28,22.4,3435.52,3.3283,12.3,83.17,1777.03,151.24,135.85,2.0726,42.09,746.79,476.09,13.28,0.4748,197.63,1.2327,4.2397,8004.8,4.1542,62.59,5.1687,4.4882,5.5105,93.79,1158.36,28043,4.6288,746.79,133.93,21.81,12142.06,1.76,10.18,714.96,23.3482,1518.86,238.52,3.3283,3.3283,3.3283,68.16,9.1934,23.34,12.43,1.1974,37.06,2853.69,39.86,746.79,1.9526,8.3174,3.5692,8.6264,4.3144,4.5278,4667.67,33.3,53.22,1.2327,12497,149.27,306777,28943.72,135.85,3.4109,308.6,22.61,446.11
30/06/2020,1,4.5069,138.06,157.39,703.74,3.3129,83.42,593.41,2.1963,1.8595,2.0816,1.227,0.463,104.13,2.454,2.9371,2.454,732.18,1.227,93,8.4785,2.1831,14.71,6.9639,1.7341,2.1833,732.18,2346.29,5039.26,732.18,1.7031,124.23,1.0061,732.18,732.18,987.57,8.7199,4663.56,549.13,732.18,2184.23,700.34,732.18,8.4575,1.227,30.46,8.3231,218.06,3.3129,68.09,4.5069,1.227,19.4,10.73,732.18,18.4,41.86,1.1162,2.7496,133.19,732.18,63.52,3.9362,7.0859,3.3129,9.4423,732.18,11517.79,256.42,130.74,30.46,9.5094,390.76,174.69,93,18049.1,1460.12,4.2971,180.67,131.82,0.8699,509.18,131.16,0.3788,93.42,11042.94,1855.21,22.01,1.227,1.7423,9.7947,68.76,4680.98,905.52,5.3411,19.01,732.18,46.37,48.9,28.56,21.75,3433.74,3.3129,12.01,84.45,1724.05,148.81,133.19,1.9959,41.99,732.18,474.02,12.15,0.4725,197.17,1.227,4.2309,8100.22,4.1792,62.16,5.0613,4.4675,5.4052,87.4,1153.98,27607,4.608,732.18,131.24,22.06,12052.15,1.7341,10.16,717.79,22.0178,1509.57,229.63,3.3129,3.3129,3.3129,67.85,9.1509,22.01,11.74,1.183,36.72,2840.49,39.04,732.18,1.8595,8.2778,3.5282,8.3226,4.3067,4.5069,4644.61,32.79,53.55,1.227,12428.92,148.01,304175,28555.27,133.19,3.3681,307.17,22.3,444.04
31/07/2020,1,4.6061,138.88,161.67,750.91,3.3858,87.2755,607.9,2.2447,1.8136,2.1274,1.254,0.4728,106.65,2.508,2.9944,2.508,732.96,1.254,95.5,8.6651,2.1854,14.7,6.5788,1.747,2.1857,732.96,2396.38,5098.75,732.96,1.6997,123.29,1.0283,732.96,732.96,1000.52,8.8847,4707.34,549.72,732.96,2382.9,720.49,732.96,8.4324,1.254,29.71,8.3314,222.86,3.3858,73.23,4.6061,1.254,20.29,11.02,732.96,18.81,43.37,1.1174,2.7264,133.34,732.96,65.019,3.8034,7.2606,3.3858,9.6615,732.96,12058.44,263.34,139.58,31.06,9.7186,385.14,170.29,95.5,17659.42,1492.88,4.3279,176.22,134.48,0.8891,507.51,133.29,0.386,93.65,11361.21,1896.04,21.54,1.254,1.7493,10.0102,68.8,4818.48,924.27,5.3677,19.32,732.96,47.07,49.84,27.95,21.6,3533.76,3.3858,12.14,86.5,1762.53,152.81,133.34,1.9377,43.01,732.96,484.98,11.94,0.4828,207.47,1.254,4.342,8412.41,4.3758,62.77,4.9815,4.5658,5.4028,87.35,1182.61,27587.9,4.704,732.96,131.36,22.38,12351.88,1.747,10.45,729.82,21.54,1522.28,233.93,3.3858,3.3858,3.3858,69.37,9.3523,21.54,11.72,1.1944,37.12,2901.74,39.16,732.96,1.8136,8.4474,3.5745,8.5993,4.389,4.6061,4671.14,33.6,53.35,1.254,12730.46,145.98,309158,29089.63,133.34,3.3502,313.93,22.91,453.82
31/08/2020,1,4.6765,135.97,162.54,703.46,3.4375,91.3814,616.41,2.2789,1.7825,2.1631,1.2732,0.48,108.02,2.5463,3.0362,2.5463,720.37,1.2732,95.17,8.7975,2.1479,14.55,6.4923,1.7617,2.1481,720.37,2452.98,5219.93,720.37,1.7098,121.66,1.044,720.37,720.37,976.45,8.9158,4612.29,540.28,720.37,2486.47,739.66,720.37,8.2616,1.2732,28.99,8.175,226.26,3.4375,74.27,4.6765,1.2732,20.35,11.13,720.37,19.09,45.02,1.0982,2.7196,131.05,720.37,66.5224,3.8895,7.3716,3.4375,9.7929,720.37,12277.04,266.17,149.51,31.4,9.8692,382.3,173.31,95.17,18651.74,1514.41,4.3527,184.45,136.46,0.9027,526.1,137.88,0.3907,98.38,11534.78,1925.26,20.91,1.2732,1.7761,10.1653,67.61,4904.83,939.58,5.4141,19.6,720.37,47.99,50.98,28.27,21.62,3622.12,3.4375,12.02,89.75,1764.35,152.28,131.05,1.9092,43.79,720.37,491.85,11.61,0.4902,213.18,1.2732,4.4237,8874.79,4.4527,62.87,4.852,4.6365,5.3131,90.47,1210.23,27258.3,4.7746,720.37,129.16,22.99,12636.07,1.7617,10.38,742.24,20.91,1521.86,236.41,3.4375,3.4375,3.4375,70.46,9.4952,20.91,11.26,1.1829,37.43,2953.72,40.28,720.37,1.7825,8.597,3.5477,8.7179,4.4688,4.6765,4706.85,35.47,54.73,1.2732,12999.42,145.48,302966,29512.45,131.05,3.3121,318.73,23.15,460.75
30/09/2020,1,4.8426,137.19,168.62,760.9,3.5597,96.869,638.49,2.3599,1.8216,2.2399,1.3184,0.497,111.74,2.6368,3.2506,2.6368,726.69,1.3184,98.65,9.1101,2.1668,15.29,7.2432,1.8006,2.1666,726.69,2543.81,5388.58,726.69,1.7352,121.73,1.0811,726.69,726.69,1033.28,9.1088,4964.29,545.02,726.69,2576.86,784.01,726.69,8.3123,1.3184,28.9,8.2483,234.3,3.5597,77,4.8426,1.3184,21,11.53,726.69,19.77,47.38,1.1078,2.8072,132.2,726.69,68.5564,4.0448,7.5873,3.5597,10.1502,726.69,12715.04,275.51,158.14,32.3,10.2177,386.69,179.69,98.65,19473.96,1573.42,4.483,197.67,139.28,0.9347,552.05,143.04,0.4026,102.65,11971.25,1993.67,22.61,1.3184,1.8032,10.5242,68.21,5059.32,987.17,5.501,20.31,726.69,50.19,52.5,29.05,21.87,3754.77,3.5597,12.11,93.6,1794.78,157.84,132.2,1.9947,45.45,726.69,508.24,11.66,0.5076,221.68,1.3184,4.5809,9181.82,4.6929,64.03,4.8847,4.8003,5.3629,96.33,1259.06,27050,4.9446,726.69,130.28,24,13183.91,1.8006,10.84,767.96,22.61,1557.28,245.41,3.5597,3.5597,3.5597,72.9,9.8326,22.61,11.42,1.1998,38.73,3058.66,41.16,726.69,1.8216,8.873,3.5988,9.55,4.6276,4.8426,4845.09,36.22,56.26,1.3184,13509.18,149.71,295856,30553.75,132.2,3.4423,329.99,24.83,477.12
31/10/2020,1,4.6881,135.46,165.1,792.58,3.446,96.6351,619.54,2.2846,1.7962,2.1684,1.2763,0.4813,108.23,2.5526,3.3204,2.5526,717.18,1.2763,93.9,8.8193,2.1384,14.86,7.0864,1.7496,2.1384,717.18,2465.26,5223.92,717.18,1.7055,120.35,1.0466,717.18,717.18,997.44,8.6686,4944.54,537.88,717.18,2507.94,765.82,717.18,8.2564,1.2763,29.43,8.1389,226.82,3.446,74.66,4.6881,1.2763,20.1,11.16,717.18,19.14,46.96,1.0933,2.705,130.46,717.18,66.04,4.1581,7.3978,3.446,9.9128,717.18,12498.31,266.77,96.98,31.23,9.8915,399.91,176.48,93.9,18908.52,1520.08,4.4082,181.2,134.37,0.9049,543.69,138.35,0.3909,101.16,11652.69,1930.03,21.74,1.2763,1.7358,10.1883,67.33,4926.55,954.16,5.3024,19.66,717.18,45.6,51.11,28.26,21.3,3666.19,3.446,11.83,91.97,1675.75,150.24,130.46,1.9417,44.12,717.18,492.01,12.04,0.4914,212.25,1.2763,4.4501,8940.7,4.5309,61.89,4.9337,4.648,5.3251,98.1,1231.63,26993.9,4.7872,717.18,128.59,23.36,12731.18,1.7496,10.33,742.81,21.74,1486.06,236.05,3.446,3.446,3.446,70.57,18.06,21.74,11.46,1.1788,37.13,2961.03,40.16,717.18,1.7962,8.6354,3.5481,9.8378,4.4671,4.6881,4715.95,36.02,54.08,1.2763,13165.91,144.68,316243,29588.68,130.46,3.3341,319.45,25.46,461.89
30/11/2020,1,4.8348,137.31,169.21,860.99,3.5539,102.27,650.71,2.3561,1.8478,2.2363,1.3163,0.4963,111.55,2.6325,3.3419,2.6325,727.11,1.3163,96.87,9.0953,2.1681,14.95,7.3697,1.782,2.1681,727.11,2546.59,5403.23,727.11,1.7256,122.67,1.0793,727.11,727.11,1032.95,8.7405,4983.61,545.33,727.11,2566.89,792.47,727.11,8.3964,1.3163,30.09,8.249,233.92,3.5539,76.93,4.8348,1.3163,20.66,11.51,727.11,19.74,49.25,1.1085,2.8219,132.27,727.11,68.87,4.2405,7.6606,3.5539,10.24,727.11,12898.01,275.33,81.95,32.09,10.2,402.49,182.2,96.87,19260.14,1566.34,4.4413,191.73,137.44,0.9332,563.27,143.07,0.402,106.88,12175.37,1990.44,21.41,1.3163,1.8033,10.5071,68.25,5189.95,993.62,5.4546,20.28,727.11,47.29,52.78,27.75,22.44,3737.51,3.5539,12.03,95.94,1702.44,154.99,132.27,1.9738,45.61,727.11,504.78,12.11,0.5068,213.29,1.3163,4.6055,9260.01,4.7322,63.94,5.0645,4.7925,5.4037,100.98,1279.85,274769,4.9366,727.11,130.35,25.07,13294.21,1.782,10.7,767.37,21.41,1489.93,242.58,3.5539,3.5539,3.5539,72.72,18.63,21.41,11.48,1.1892,37.71,3053.71,41.12,727.11,1.8478,8.8745,3.6057,10.2892,4.6201,4.8348,4925.43,37.18,56.17,1.3163,13651.91,150.86,326345,30508.25,132.27,3.4529,328.06,26.65,476.35
